Title,Split,Status,Approved,Reviewer,Domain,Difficulty,Quality Score,Safety Label,Language,Source,Dataset Version,Last Modified,Assistant Message,Created Date,Duplicate Checked,Fact Checked,ID,Input,Instruction,Output,Safety Checked,Subdomain,System Message,Tags,User Message
HTML: accessible button vs link,Train,Draft,No,,"Education, Frontend, Web Development",Easy,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM","Use a <button> for opening a modal because it’s an action, not navigation.","June 13, 2026 12:56 AM",Yes,Yes,1,"User is building a UI with a clickable element that triggers JS, not navigation.",Teach when to use a <button> vs an <a> tag with accessibility considerations.,"Use <button> for actions (submitting forms, opening modals, toggling UI). Use <a href> for navigation.nnExample action button:nhtml\n<button type=""button"" aria-expanded=""false"" aria-controls=""menu"">Menu</button>\nnnExample navigation link:nhtml\n<a href=""/pricing"">View pricing</a>\nnnAvoid div/span with click handlers unless you fully recreate keyboard and ARIA behavior.",Yes,HTML / Accessibility,You are TensoraMax Studio Assistant. Prioritize accessibility and web standards.,html,Should I use a link or a button for opening a modal?
Python: read a CSV and compute average,Train,Draft,No,,"Data Science, Programming",Easy,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM",Use the built-in csv module and sum values while counting rows. (See code in Output.),"June 13, 2026 12:56 AM",Yes,Yes,10,CSV file path: data.csvnColumn: price,Write Python code that reads a CSV file with a numeric column and prints the average.,"python\nimport csv\n\ndef average_column(path, col):\n    total = 0.0\n    count = 0\n    with open(path, newline='', encoding='utf-8') as f:\n        reader = csv.DictReader(f)\n        for row in reader:\n            if row.get(col) in (None, ''):\n                continue\n            total += float(row[col])\n            count += 1\n    return total / count if count else None\n\navg = average_column('data.csv', 'price')\nprint(avg)\n",Yes,Python / CSV processing,"You are TensoraMax Studio Assistant. Provide correct, concise, production-ready code with brief explanation when useful.",python,I have a CSV called data.csv with a column price. How do I compute the average price in Python?
JavaScript: debounce a function,Train,Draft,No,,"Frontend, Programming, Web Development",Medium,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM",Debouncing delays a function until events stop firing. Here’s a standard implementation (see Output).,"June 13, 2026 12:56 AM",Yes,Yes,2,"Need debounce(fn, wait) that preserves this and args.",Explain what debouncing is and provide a JavaScript debounce implementation.,"js\nfunction debounce(fn, wait = 200) {\n  let t;\n  return function debounced(...args) {\n    const ctx = this;\n    clearTimeout(t);\n    t = setTimeout(() => fn.apply(ctx, args), wait);\n  };\n}\n\n// usage\nwindow.addEventListener('resize', debounce(() => {\n  console.log('resized');\n}, 250));\nnnDebouncing delays execution until calls stop for wait ms.",Yes,JavaScript / Performance,You are TensoraMax Studio Assistant. Be correct and practical; avoid unnecessary verbosity.,javascript,How do I debounce a function in JavaScript?
CSS: center a div (modern ways),Train,Draft,No,,"Frontend, Web Development",Easy,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM",Use Flexbox (align-items + justify-content) or CSS Grid (place-items: center).,"June 13, 2026 12:56 AM",Yes,Yes,8,Need responsive centering inside a full-height page.,Provide modern CSS methods to center an element horizontally and vertically.,Two common modern options:nn1) Flexboxncss\n.container {\n  min-height: 100vh;\n  display: flex;\n  align-items: center;\n  justify-content: center;\n}\nnn2) Gridncss\n.container {\n  min-height: 100vh;\n  display: grid;\n  place-items: center;\n}\n,Yes,CSS / Layout,"You are TensoraMax Studio Assistant. Give concise, correct CSS patterns.",css,How do I center a div both vertically and horizontally?
AI: explain embeddings with an analogy,Train,Draft,No,,"AI, Education, Machine Learning",Easy,7,Safe,English,Human Written,v0.1,"June 13, 2026 12:56 AM",Embeddings represent meaning as numbers so you can compare similarity; they power semantic search and RAG.,"June 13, 2026 12:56 AM",Yes,Yes,5,Audience: beginner developer.,Explain embeddings in simple terms and give one practical use case.,"An embedding is a way to turn text (or images) into a list of numbers so that similar things end up near each other in a vector space.nnAnalogy: imagine a map where cities that are culturally similar are closer together. Embeddings make a “meaning map” for words/sentences.nnUse case: semantic search. Store embeddings for your knowledge base articles, embed a user question, then retrieve the closest articles (RAG).",Yes,NLP fundamentals,You are TensoraMax Studio Assistant. Teach clearly with simple examples.,ml,What are embeddings?
ML: train/validation/test split best practices,Train,Draft,No,,"Data Science, Education, Machine Learning",Medium,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM","Train fits, validation selects/tunes, test evaluates once; keep splits leakage-free.","June 13, 2026 12:56 AM",Yes,Yes,3,Model: supervised classification; dataset size moderate.,Explain why we split data into train/validation/test and common ratios.,"- Train: fit model parameters.n- Validation: tune hyperparameters / early stopping / model selection.n- Test: final, unbiased estimate (touch it once).nnCommon starting ratios: 80/10/10 or 70/15/15. If data is small, use k-fold CV for selection and keep a small held-out test set.nnImportant: prevent leakage (e.g., same user/session appearing in multiple splits).",Yes,Evaluation / data splitting,You are TensoraMax Studio Assistant. Emphasize correctness and leakage prevention.,ml,Why do we need train/val/test splits?
Software Engineering: write a good Git commit message,Train,Draft,No,,"Education, Productivity, Software Engineering",Easy,7,Safe,English,Human Written,v0.1,"June 13, 2026 12:56 AM","Use an imperative summary line, keep it short, and add context in the body when needed.","June 13, 2026 12:56 AM",Yes,Yes,4,Team uses conventional commits optionally.,Give guidelines and examples for writing clear Git commit messages.,"Guidelines:n- Use imperative mood: “Add”, “Fix”, “Refactor”.n- First line ≤ ~50 chars, summarize the change.n- Optional body explains why (not just what).n- Reference issues/PRs when helpful.nnExamples:n- Fix auth token refresh on 401n- Refactor search query builder for readabilityn- feat(api): add pagination to /projects",Yes,Version control practices,You are TensoraMax Studio Assistant. Prefer actionable engineering guidance.,docs,How do I write better commit messages?
Reasoning: schedule overlap problem,Validation,Review,No,,"Productivity, Reasoning",Medium,7,Safe,English,Synthetic,v0.1,"June 13, 2026 12:56 AM",There is 1 overlap conflict (A with B). B and C touch at 12:00 but don’t overlap under standard half-open intervals.,"June 13, 2026 12:56 AM",Yes,Yes,7,"Meetings: A 10:00-11:30, B 11:00-12:00, C 12:00-12:30. How many conflicts?",Solve a reasoning problem about interval overlap and explain the approach.,"A conflicts with B because their intervals overlap from 11:00–11:30.nB and C do not conflict if end times are treated as non-inclusive (B ends at 12:00, C starts at 12:00).nSo there is 1 conflict: (A, B).nnApproach: sort by start time and compare each interval’s start to the previous interval’s end.",Yes,Intervals / logic,"You are TensoraMax Studio Assistant. Show clear reasoning, state assumptions.",reasoning,"Given these meetings, how many conflicts are there?"
Backend: REST vs RPC in API design,Train,Draft,No,,"Backend, Software Engineering",Hard,8,Safe,English,Curated,v0.1,"June 13, 2026 12:56 AM","For internal typed clients and fast iteration, RPC is often better; REST is great for public resource APIs.","June 13, 2026 12:56 AM",Yes,Yes,6,"Internal microservice, high iteration speed, typed clients.",Compare REST and RPC styles; give guidance on choosing for a new internal service.,"- REST: resource-oriented, uses HTTP verbs; great for public APIs and cacheability; can become awkward for complex actions.n- RPC: action-oriented (e.g., CreateInvoice); great for internal services with typed IDLs (gRPC/Connect); easier to model workflows.nnGuidance: for an internal, fast-moving service with typed clients, RPC (gRPC/Connect) is often a better fit. If you expect broad external use, simple resources, or strong HTTP semantics, REST is a safe default.",Yes,API design,You are TensoraMax Studio Assistant. Be balanced and engineering-focused.,docs,Should we use REST or RPC for a new internal service?
DevOps: explain CI vs CD,Train,Draft,No,,"Cloud Computing, DevOps, Education",Easy,7,Safe,English,Human Written,v0.1,"June 13, 2026 12:56 AM",CI validates changes continuously; CD handles automated delivery/deployments after CI passes.,"June 13, 2026 12:56 AM",Yes,Yes,9,Audience: junior engineer joining a team.,Explain CI vs CD and how they work together in a deployment pipeline.,- CI (Continuous Integration): automatically build + test every change (PR/merge) to catch issues early.n- CD (Continuous Delivery/Deployment): automatically deliver changes to staging/production.nnTypical flow: commit → CI runs lint/tests/build → artifact produced → CD promotes artifact to environments with approvals/rollbacks.,Yes,Delivery pipelines,You are TensoraMax Studio Assistant. Teach clearly and practically.,docs,What’s the difference between CI and CD?
